Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C17, C19, C21, C35, C38, C39, C40, C41, C42, C46, C47, C7",0402,14,100nF,C1525
"C10, C11, C16, C18, C23, C24, C27, C31, C36, C50, C52",0603,11,100nF,C14663
"C12, C2, C25, C26, C28, C30, C33, C34, C4, C43, C8",0805,11,10uF,C440198
"C13, C15, C20, C22, C3, C32, C44, C45, C48, C51, C9",0402,11,1uF,C52923
"C29, C37, C49",0603,3,15pF,C1644
"C5, C6",0805,2,22uF,C45783
"D1, D2, D3, D4, D7, D8",0603,6,LED_Small_Filled,C2286
"D5, D6",D_SOD-323,2,1N5819WS,C191023
J1,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
"J2, J6",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C2894897
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J7,PinHeader_1x17_P2.54mm_Vertical,1,Conn_01x17_Pin,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
L1,L_APV_ANR5040,1,3.3uH 3.6A (SWPA4030S3R3MT),C15269
"Q1, Q2, Q3, Q4",SOT-363_SC-70-6,4,DMC3400SDW,C155499
"R1, R18, R2, R24, R26, R27, R28, R29, R3, R33, R50, R52, R54",0402,13,33R,C17634
"R10, R12, R30, R37, R39, R43, R47, R51",0603,8,1K,C21190
"R11, R34, R56, R58",0603,4,4K7,C23162
"R13, R35, R38, R5, R59, R9",0603,6,560R,C23204
"R14, R19, R20, R22, R25, R32, R40, R42, R44, R6, R8",0603,11,10K,C25804
"R15, R17, R4, R45, R7",0603,5,49R9,C25120
"R16, R41",0603,2,100K,C25803
"R21, R36, R46, R53",0603,4,0R/FB,C21189
"R23, R31",0402,2,5K1,C25905
"R48, R49, R55",0402,3,27R,C25100
R57,0603,1,21K,C22956
"RN1, RN2, RN3, RN4, RN5",R_Array_Concave_4x0603,5,RP_47R,C1980
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,SOT-23-6,1,SN74LVC2G14DBV,C12401
"U2, U8",TSSOP-24_4.4x7.8mm_P0.65mm,2,SN74AVC8T245PW,C1523276
U3,TSSOP-16_4.4x5mm_P0.65mm,1,74CBTLV3257,C7637
U4,SOT-666,1,USBLC6-2P6,C5180249
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32E-R2,C328062
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U7,SOT-23-5,1,LP3201AB5,C2890377
U9,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,C20625731
