Designator,Mid X,Mid Y,Rotation,Layer
C1,134.2,-60.0675,90.0,top
C10,130.64,-64.15,270.0,top
C11,128.81,-72.105,180.0,top
C12,133.53,-75.76,180.0,top
C13,126.2325,-78.2,0.0,top
C14,126.24,-79.2,0.0,top
C15,120.7,-77.3,90.0,top
C16,119.34,-77.74,90.0,top
C17,142.7225,-86.09,180.0,top
C18,148.72,-81.57,180.0,top
C19,139.74,-78.515,180.0,top
C2,128.22125,-59.86,90.0,top
C20,142.735,-85.025,180.0,top
C21,137.72,-103.39,180.0,top
C22,117.9675,-105.1,180.0,top
C23,121.92,-113.27,270.0,top
C24,117.05,-91.42,270.0,top
C25,131.3125,-109.42,180.0,top
C26,134.63,-96.38,270.0,top
C27,119.31,-92.12,90.0,top
C28,117.1225,-103.4,180.0,top
C29,136.46,-110.21,270.0,top
C3,132.0,-60.0925,90.0,top
C30,123.03,-89.41,0.0,top
C31,128.22,-94.1,0.0,top
C32,126.2,-108.4,0.0,top
C33,127.82,-92.23,0.0,top
C34,124.97,-110.4,0.0,top
C35,137.74,-98.6,180.0,top
C36,115.84,-112.74,0.0,top
C37,138.9875,-113.5725,180.0,top
C38,143.09,-108.2475,270.0,top
C39,143.9,-96.02,90.0,top
C4,130.20125,-59.8725,90.0,top
C40,148.5,-99.1,0.0,top
C41,147.91,-96.2775,90.0,top
C42,148.64,-103.5,0.0,top
C43,146.35,-111.95,0.0,top
C44,146.91,-96.2875,90.0,top
C45,145.92,-96.2975,90.0,top
C46,144.1,-108.245,270.0,top
C47,142.89,-96.04,90.0,top
C48,132.0,-117.75,180.0,top
C49,125.54,-117.71,180.0,top
C5,126.22,-59.86,90.0,top
C50,134.17,-115.9125,270.0,top
C51,132.01,-116.73,180.0,top
C52,147.86,-116.62,90.0,top
C6,124.21,-59.87,90.0,top
C7,133.1,-60.0675,90.0,top
C8,112.65,-68.36,180.0,top
C9,117.0725,-68.2075,180.0,top
D1,128.92625,-88.47875,0.0,top
D2,133.435,-71.04,180.0,top
D3,124.69,-76.0,90.0,top
D4,115.84,-110.97,0.0,top
D5,122.6,-108.2,180.0,top
D6,148.3,-89.8,90.0,top
D7,154.265807,-92.967225,180.0,top
D8,145.1,-116.67,270.0,top
J1,118.61,-62.93,0.0,top
J2,125.21625,-66.255,0.0,top
J3,155.655,-85.1,90.0,top
J4,113.345,-116.98,270.0,top
J5,139.505,-116.72,270.0,top
J6,153.16,-115.23,90.0,top
J7,112.08,-92.98,0.0,bottom
J8,155.26,-103.14,0.0,bottom
L1,130.39,-113.36,0.0,top
Q1,111.5,-60.89,180.0,top
Q2,111.5,-63.82,180.0,top
Q3,127.42,-76.045,0.0,top
Q4,116.94,-72.14,270.0,top
R1,113.723849,-61.6,270.0,top
R10,120.1225,-68.4075,0.0,top
R11,115.63,-74.65,180.0,top
R12,133.67,-87.46,270.0,top
R13,133.49,-72.63,180.0,top
R14,128.23,-81.52,0.0,top
R15,130.09125,-68.93,0.0,top
R16,116.23,-78.45,270.0,top
R17,130.08125,-67.37,0.0,top
R18,137.33,-77.75,180.0,top
R19,116.77,-66.8775,0.0,top
R2,155.87,-60.12,270.0,top
R20,128.81,-73.635,180.0,top
R21,129.13125,-64.14,90.0,top
R22,130.79,-82.91,270.0,top
R23,149.05,-83.2,0.0,top
R24,155.78,-67.71,90.0,top
R25,150.91,-77.95,180.0,top
R26,155.78,-70.34,270.0,top
R27,144.73,-78.28,270.0,top
R28,147.27,-78.29,270.0,top
R29,148.54,-78.25,270.0,top
R3,113.733849,-63.895712,270.0,top
R30,154.43,-77.96,180.0,top
R31,149.0625,-86.59,0.0,top
R32,155.98,-74.56,90.0,top
R33,146.0,-78.27,270.0,top
R34,129.25,-103.5,180.0,top
R35,128.94,-90.09,0.0,top
R36,115.86,-114.26,180.0,top
R37,133.8675,-106.73,0.0,top
R38,115.14,-91.4,270.0,top
R39,115.86,-109.39,0.0,top
R4,120.135,-66.8775,180.0,top
R40,123.2075,-105.85,180.0,top
R41,115.86,-107.88,180.0,top
R42,123.21,-104.29,0.0,top
R43,133.86,-105.21,0.0,top
R44,154.255807,-91.407225,0.0,top
R45,151.7,-111.24,180.0,top
R46,156.7,-92.24,270.0,top
R47,150.885807,-93.007225,180.0,top
R48,145.22,-91.66,270.0,top
R49,146.23,-91.6675,270.0,top
R5,126.37,-72.695,90.0,top
R50,149.1,-106.1,180.0,top
R51,141.53,-109.59,270.0,top
R52,149.09,-105.1,180.0,top
R53,152.63,-106.41,270.0,top
R54,148.1,-107.1,180.0,top
R55,140.64,-94.63,270.0,top
R56,150.905807,-91.417225,0.0,top
R57,125.54,-116.16,180.0,top
R58,122.17,-116.16,180.0,top
R59,143.45,-116.6525,270.0,top
R6,117.75,-77.75,270.0,top
R7,114.72,-72.19,90.0,top
R8,114.68,-78.45,270.0,top
R9,124.6975,-72.685,270.0,top
RN1,128.33,-84.23,270.0,top
RN2,129.27,-100.71,270.0,top
RN3,116.27,-96.51,270.0,top
RN4,116.27,-100.3,270.0,top
RN5,129.27,-96.91,270.0,top
U1,115.85,-87.6175,90.0,top
U2,122.22,-84.0,270.0,top
U3,136.93,-81.98,270.0,top
U4,148.46,-84.92,0.0,top
U5,145.36,-66.53,0.0,top
U6,139.13,-89.52,270.0,top
U7,125.1,-113.27,0.0,top
U8,122.22,-98.13,270.0,top
U9,143.155,-102.275,90.0,top
Y1,139.0025,-110.4675,270.0,top
